user,text_length,reply_count,reply_users_count,replies_true,reactions_count,attachments_true,reaction_true,reply_ratio,token_score
U023F2P1CKZ,1822,88,62,5,28,23,0,1.4193548387096775,4527.870967741936
U023QT9923G,6485,2,2,2,10,66,0,1.0,14540.0
U023R27V74N,24585,13,11,5,45,164,0,1.1818181818181819,52911.36363636364
U023TR6SGJZ,12933,7,4,2,21,52,0,1.75,27361.0
U024GNF18MB,73,0,0,0,1,2,0,0.0,191.0
U024GNX9CGM,12825,103,66,32,39,101,0,1.5606060606060606,28177.121212121212
U024J4FLHHD,9278,3,3,2,18,64,0,1.0,20126.0
U024J6725K8,1936,18,5,3,10,35,0,3.6,5342.0
U024JN413AR,853,16,15,8,8,15,0,1.0666666666666667,2259.3333333333335
U024MNS46GM,443,3,2,2,2,12,0,1.5,1436.0
U024QHZRR6E,387,0,0,0,2,8,0,0.0,944.0
U024R294XHV,11657,97,62,31,50,128,0,1.564516129032258,26436.90322580645
U024SCVTY5T,954,13,11,6,6,19,0,1.1818181818181819,2554.3636363636365
U024VFELUBZ,1014,36,22,8,10,19,0,1.6363636363636365,2785.2727272727275
U024VKV1V6K,1086,2,2,1,3,10,0,1.0,2587.0
U024WBY5S5Q,3871,39,25,14,15,37,0,1.56,8869.0
U024WMKUP0C,578,1,1,1,5,11,0,1.0,1601.0
U024YNXFLUR,117,0,0,0,0,3,0,0.0,294.0
U024ZA73WKV,106,3,3,2,3,5,0,1.0,527.0
U02507X9M5G,1276,29,5,2,4,21,0,5.8,4152.0
U02536C3K3P,601,5,4,3,2,11,0,1.25,1682.0
U0253G8HJ0H,297,2,2,1,2,4,0,1.0,884.0
U0253QXQT2S,1746,9,6,3,7,15,0,1.5,4127.0
U0253RQ4Q5U,1735,22,14,7,9,19,0,1.5714285714285714,4209.285714285715
U02548Z2S69,2600,15,10,5,13,35,0,1.5,6265.0
U0254U087B7,1711,18,10,5,3,19,0,1.8,4177.0
U0255KNQ0N8,206,0,0,0,0,1,0,0.0,432.0
U0256T3ARB6,52,0,0,0,0,3,0,0.0,164.0
U0259QYTM1N,210,2,2,1,1,6,0,1.0,745.0
U025AJNRNN6,2344,35,11,6,9,39,0,3.1818181818181817,6149.363636363636
U025AK2MCCA,432,3,3,2,2,3,0,1.0,1134.0
U025DPVSGBT,5654,22,17,9,35,68,0,1.2941176470588236,13101.823529411764
U025E9FJVNU,2195,25,16,11,23,28,0,1.5625,5377.5
U025G8XUG8L,217,0,0,0,2,4,0,0.0,524.0
U025GLTLJBE,627,8,7,3,8,13,0,1.1428571428571428,1782.5714285714284
U025JC6MEBY,507,0,0,0,0,5,0,0.0,1114.0
U025M2H7U65,9,0,0,0,0,1,0,0.0,38.0
U025NEBV4C9,341,4,4,1,1,4,0,1.0,967.0
U025VP9A3UG,372,1,1,1,1,6,0,1.0,1069.0
U0260MXFCV9,15078,4,4,3,15,124,0,1.0,32911.0
U026QCRFCDN,148,0,0,0,0,2,0,0.0,336.0
U0275C12GCD,169,0,0,0,7,4,0,0.0,453.0
U027C0P4D7V,134,0,0,0,0,1,0,0.0,288.0
U02DML4ACDU,77,0,0,0,0,1,0,0.0,174.0
U02LRJS6UR4,393,0,0,0,1,1,0,0.0,811.0
USLACKBOT,25,3,3,1,0,1,0,1.0,270.0
